Wavelength (nm),Absorbance (AU),Std.Dev.
200,1.00363063812256,0.226398276958042
201,0.783422470092773,0.173537107165806
202,1.4371337890625,0.272913840087541
203,2.50121068954468,0.406550369726803
204,2.24977779388428,0.353029707482578
205,2.91742753982544,0.59947894041409
206,2.48397159576416,0.326995358308751
207,3.68400526046753,0.311460674026182
208,3.03728342056274,0.182645907668063
209,2.82181024551392,0.359735722495087
210,3.2982611656189,0.275383698937728
211,2.8192458152771,0.406071550350312
212,3.35980224609375,0.239769462487619
213,3.07044219970703,0.225993527210007
214,3.25051879882812,0.376998661433507
215,3.55277061462402,0.197057633233097
216,2.69417142868042,0.124368982217404
217,3.08079862594605,0.146490885271997
218,3.0013165473938,0.542589233372608
219,3.4647479057312,1.03275813018768
220,3.7487587928772,0.49615526193452
221,2.98243951797485,0.721842869955955
222,3.73273086547852,1.4931892906837
223,3.73352289199829,0.786292321744512
224,3.16786766052246,0.359385614653023
225,3.25755405426025,0.238189179189584
226,3.17490720748901,0.167063558396035
227,2.9175386428833,0.337992217386247
228,3.48244047164917,0.731773150203924
229,3.94621753692627,0.54108260528517
230,3.17794799804687,0.220473989185179
231,2.76368427276611,0.0593477688634323
232,2.66334962844849,0.0358371494538187
233,2.52492475509644,0.0243033377831469
234,2.3770260810852,0.0190519653978516
235,2.23562955856323,0.0147530949626828
236,2.11962032318115,0.00933099591981756
237,2.04340362548828,0.00801700901330187
238,1.929847240448,0.00737919835026934
239,1.8501353263855,0.00477919304301936
240,1.78208589553833,0.00505017511635437
241,1.73987913131714,0.00630082682754483
242,1.71347618103027,0.00470297563512113
243,1.67756271362305,0.00398157919236886
244,1.66285514831543,0.00333319856202347
245,1.64347743988037,0.00496340052219531
246,1.64627647399902,0.00445305740572842
247,1.63498640060425,0.00358038958470929
248,1.6362190246582,0.0029331822214615
249,1.63074111938477,0.00523383137741035
250,1.64402151107788,0.00690547452862305
251,1.62885761260986,0.00530400424315533
252,1.63306045532227,0.00410345124852823
253,1.63154077529907,0.0039242093179731
254,1.6435923576355,0.00547830904266853
255,1.62420034408569,0.00741834556582724
256,1.62252521514893,0.00640403942022277
257,1.61823177337646,0.00501232059757027
258,1.5976505279541,0.00563361435472346
259,1.59011507034302,0.00583404789249259
260,1.56673336029053,0.00366579506098292
261,1.56330394744873,0.00434369244297234
262,1.53548908233643,0.00467915188967352
263,1.50910234451294,0.00474849985300783
264,1.48070669174194,0.0058768330210276
265,1.45401811599731,0.00466469941510876
266,1.44113922119141,0.00362119066752718
267,1.41129112243652,0.00407818078773897
268,1.39672327041626,0.00336704465381649
269,1.38165378570557,0.00353009372533399
270,1.3856520652771,0.00494441276428822
271,1.37350654602051,0.0040284359077283
272,1.36320781707764,0.00465600639704506
273,1.35951232910156,0.00366134635605745
274,1.34585332870483,0.00319255293716358
275,1.33306121826172,0.00323579882642826
276,1.32197046279907,0.00419713789371421
277,1.31803226470947,0.00362485372725059
278,1.29553270339966,0.00266299751115347
279,1.27232122421265,0.00208236353872461
280,1.25438404083252,0.00188023947763054
281,1.22606182098389,0.00150946370569046
282,1.18941020965576,0.00176603592462481
283,1.16090202331543,0.00125119744255961
284,1.10963249206543,0.0010461455159274
285,1.0634298324585,0.00152786126113391
286,1.01366949081421,0.000863133739365731
287,0.966704368591309,0.000504608177367315
288,0.921700477600098,0.000774017021745558
289,0.885196685791016,0.00105064269928601
290,0.853159427642822,0.00103728906867153
291,0.824267387390137,0.000862138461057458
292,0.802229881286621,0.00118233463304508
293,0.783167839050293,0.000687820700465924
294,0.76755952835083,0.000553131103515625
