Wavelength (nm),Absorbance (AU),Std.Dev.
190,3.69521522521973,0.453486857130219
191,3.30719757080078,0.519031714732768
192,3.88920497894287,0.904024746446412
193,3.86305093765259,0.480079555276551
194,3.49387311935425,0.17133593554073
195,3.33864831924439,0.17505546780687
196,3.68206262588501,0.4231660655617
197,3.99999952316284,0.713337295853967
198,3.57804393768311,0.348133231430399
199,3.64144945144653,0.213324707969502
200,3.98449993133545,0.243393387721449
201,3.88403034210205,0.160981818457935
202,3.60735845565796,0.100540891764237
203,3.70845127105713,0.0851277434905448
204,3.66317129135132,0.110141791077891
205,3.63419389724731,0.0808160785729437
206,3.78997611999512,0.0895992767577273
207,3.63930511474609,0.0515177214418359
208,3.43801546096802,0.040492030925621
209,3.03662252426147,0.0123024832552583
210,2.74694395065308,0.00488872170508635
211,2.50067472457886,0.00440352896278302
212,2.3227596282959,0.00362870558480582
213,2.1775336265564,0.00291662482958261
214,2.07774305343628,0.00170560912202453
215,1.99960088729858,0.00145239307059214
216,1.94272804260254,0.00113439630089089
217,1.88878107070923,0.00194643783192163
218,1.84936237335205,0.00138439352903603
219,1.80972719192505,0.000872623985500044
220,1.77560234069824,0.000614497883040203
221,1.74185705184937,0.000611102119539426
222,1.70981025695801,0.00083912935478996
223,1.67471170425415,0.00102674190856505
224,1.63651704788208,0.00091477999383593
225,1.59521102905273,0.000871823167969318
226,1.55101633071899,0.00096497515795133
227,1.50541591644287,0.000806012222894423
228,1.45406150817871,0.000536721262724657
229,1.39651203155518,0.000462019528250607
230,1.33686304092407,0.000396021800376853
231,1.27521753311157,0.000351552863783699
232,1.2116003036499,0.000252822640680382
233,1.14603900909424,0.000243737961589506
234,1.08158588409424,0.000159080765892146
235,1.01952457427979,0.0000982122500488243
236,0.958906650543213,0.000118465007473545
237,0.902536869049072,0.0000859312951356746
238,0.851722717285156,0.000101556240173143
239,0.806021690368652,0.000132804070934519
240,0.76629638671875,0.0000857803408986807
241,0.732326030731201,0.0000865823889677535
242,0.704858779907227,0.0000702845678131385
243,0.683008670806885,0.0000731490581224774
244,0.666636466979981,0.000088817240982973
245,0.655528068542481,0.000107488445630088
246,0.648753643035889,0.000135468756886502
247,0.646448612213135,0.000133946265277814
248,0.648538589477539,0.000100349017623641
249,0.654479026794434,0.000139455101046934
250,0.664917945861816,0.00013598472810006
251,0.679091930389404,0.000114766294141945
252,0.697473526000977,0.000152751715453492
253,0.720271587371826,0.000149857409480403
254,0.748281955718994,0.000195570678242825
255,0.780121803283691,0.000226018801008195
256,0.81490421295166,0.000256373483628331
257,0.854729175567627,0.000228698975313746
258,0.897788047790527,0.000346676027251787
259,0.943143367767334,0.000361763250768119
260,0.992138385772705,0.00028029589779009
261,1.04538202285767,0.000453090657688045
262,1.10334300994873,0.000501991549739265
263,1.16086721420288,0.00090081796207372
264,1.21537685394287,0.000874988779353676
265,1.27116680145264,0.000853401578009617
266,1.32332468032837,0.0008306235036449
267,1.37053966522217,0.000654840314847455
268,1.41721153259277,0.00115919103351751
269,1.46460103988647,0.00154987539840368
270,1.51657676696777,0.00184697541280188
271,1.55900382995605,0.00124305292188583
272,1.59299564361572,0.00174521461859512
273,1.61195516586304,0.00145803298724057
274,1.61496686935425,0.00173816294749733
275,1.60600900650024,0.00215781074512805
276,1.5866436958313,0.00236397992990215
277,1.56705141067505,0.00155725642364284
278,1.55212020874023,0.0013560162271361
279,1.53149223327637,0.0010373732380239
280,1.49808883666992,0.000774111018591098
281,1.45222806930542,0.000898164780315809
282,1.38580083847046,0.000556828212082337
283,1.29897403717041,0.000422356073505443
284,1.20228290557861,0.000362014569522653
285,1.09665870666504,0.000204820293462289
286,0.990029811859131,0.000160631144829694
287,0.889367580413818,0.000267953633557677
288,0.795584201812744,0.00019627627614589
289,0.710668087005615,0.000178655554249005
290,0.635414600372314,0.000127934618665573
291,0.568037509918213,0.0000908772063800878
292,0.508342742919922,0.0000997422066897619
293,0.454972267150879,0.0000976876305289081
294,0.408905029296875,0.000116713139345166
295,0.368298053741455,0.000102454541629506
296,0.332880973815918,0.0000824928283691406
297,0.301754951477051,0.000123911619936673
298,0.274231433868408,0.000100654439695423
299,0.251068115234375,0.0000722986405457562
300,0.230711936950684,0.000103523093164479
301,0.212577342987061,0.0000970805791449658
302,0.197189807891846,0.0000655906800777473
303,0.18400764465332,0.0000751937576348386
304,0.172474384307861,0.0000980384618827545
305,0.162342071533203,0.0000899896706549488
306,0.153892993927002,0.000122092662195802
307,0.146298408508301,0.0000751514119916216
308,0.139508724212646,0.0000677947746910445
309,0.133896827697754,0.0000808066656370546
310,0.128965854644775,0.0000822595926393426
311,0.124333381652832,0.0000559354579934463
312,0.120509624481201,0.0000727172757747965
313,0.117172718048096,0.000100094923121658
314,0.114160537719727,0.0000867738822225794
315,0.111321449279785,0.0000741217250186126
316,0.109020709991455,0.0000792540080003484
317,0.106793880462646,0.000098623481423597
318,0.104804992675781,0.0000896453857421875
319,0.102787971496582,0.0000748937994730478
320,0.10137939453125,0.000106020964998493
321,0.0996870994567871,0.000104652449559242
322,0.0981893539428711,0.000108610065288604
323,0.0969762802124023,0.000119844650820961
324,0.0958199501037598,0.0000971437956104038
325,0.0947928428649902,0.0000800319713441813
326,0.0936970710754395,0.0000816311233918461
327,0.0928215980529785,0.0000874759033869701
328,0.0920572280883789,0.0000906116075359835
329,0.0913205146789551,0.00010351870035718
330,0.090550422668457,0.000100744757304958
331,0.0900983810424805,0.0000921764585128041
332,0.0898327827453613,0.00010251000821522
333,0.0895051956176758,0.000105295750920742
334,0.0889186859130859,0.0000899517627082586
335,0.0882983207702637,0.0000848703167448204
336,0.0881080627441406,0.00012656231938308
337,0.0879406929016113,0.0000937127570841846
338,0.0875368118286133,0.0000766492557026986
339,0.0872249603271484,0.000105913680191311
340,0.0868678092956543,0.0000953245066360867
341,0.0868215560913086,0.0000932993772255137
342,0.0863022804260254,0.00011262445497438
343,0.0861992835998535,0.000109017530771054
344,0.086176872253418,0.0000721333431142833
345,0.0857377052307129,0.0000690212521466149
346,0.0856504440307617,0.0000937418679594664
347,0.0853953361511231,0.0000910946192646756
348,0.0850014686584473,0.0000903578106076922
349,0.0849580764770508,0.0000849894518248035
350,0.0847377777099609,0.0000777083655240628
351,0.084442138671875,0.0000805981755836516
352,0.0842552185058594,0.0000769970208092939
353,0.0839500427246094,0.0000984596568458252
354,0.0835890769958496,0.00011182212619748
355,0.0833816528320313,0.0000907695571398305
356,0.0825700759887695,0.000144568974011514
357,0.0821151733398438,0.000119132971175769
358,0.0821170806884766,0.000154262532300908
359,0.0823163986206055,0.000156073689639171
360,0.0826816558837891,0.000129597988632697
361,0.0818209648132324,0.000170061818235833
362,0.0806374549865723,0.000136608644622801
363,0.0796709060668945,0.000131014859869255
364,0.0792808532714844,0.000156939561674909
365,0.0795221328735352,0.000156939561674909
366,0.0797939300537109,0.000169099123072063
367,0.0796527862548828,0.00013332012209996
368,0.0786733627319336,0.000133568888855069
369,0.0780854225158691,0.00015818924497127
370,0.0774927139282227,0.00012457410684549
371,0.0771369934082031,0.0000799353177719693
372,0.0768647193908691,0.000110782315852865
373,0.0762462615966797,0.000152602791058669
374,0.0758447647094727,0.000111496315325589
375,0.0758762359619141,0.00013291702141539
376,0.0750479698181152,0.000132310067718694
377,0.0746445655822754,0.000116705346520202
378,0.0744309425354004,0.0000872651083649401
379,0.0741329193115234,0.000124354888984089
380,0.0736188888549805,0.0000939236065100064
381,0.0732016563415527,0.000107668098658784
382,0.0730047225952148,0.000128505623612708
383,0.0723552703857422,0.0000997125673111552
384,0.0721783638000488,0.0000868576913762186
385,0.0720582008361816,0.000103632852830971
386,0.0714302062988281,0.000139572443617192
387,0.0711936950683594,0.000129867893452066
388,0.0708847045898438,0.000118482280202
389,0.0705471038818359,0.000120183776385196
390,0.0702238082885742,0.000108316580692296
391,0.0697355270385742,0.000118447732226283
392,0.069645881652832,0.000136631944466114
393,0.0695958137512207,0.000154727596228885
394,0.0684151649475098,0.000088406689337887
395,0.0689315795898438,0.000122460843282797
396,0.0684185028076172,0.000178273337486998
397,0.0681118965148926,0.000149343692774678
398,0.0678930282592773,0.000151436154551033
399,0.0676498413085938,0.000164109588717113
400,0.0673012733459473,0.000170792925995087
401,0.0670986175537109,0.0000998174055860121
402,0.0670638084411621,0.0000755617652259064
403,0.0666942596435547,0.000114869269751843
404,0.0665717124938965,0.00017001902865988
405,0.066685676574707,0.000126144834623615
406,0.0662984848022461,0.000128325021216833
407,0.0659770965576172,0.000128753096775243
408,0.0657463073730469,0.000181448913483052
409,0.0658450126647949,0.000149368050563672
410,0.0654692649841309,0.000159440541924741
411,0.0654516220092773,0.000161562674962019
412,0.0651202201843262,0.000155056416962883
413,0.0649833679199219,0.000154941996075945
414,0.0646905899047852,0.000153562295592273
415,0.0643715858459473,0.000134819329530049
416,0.0644640922546387,0.000148831258348775
417,0.0643548965454102,0.000137590451040047
418,0.0641727447509766,0.000129993890467749
419,0.0642361640930176,0.000118783189281793
420,0.0640444755554199,0.000118597367436711
421,0.0640482902526856,0.000144713596469107
422,0.0636196136474609,0.000131928011081152
423,0.0637469291687012,0.000162169506370544
424,0.0632486343383789,0.000145055713177788
425,0.0633845329284668,0.000117818346983012
426,0.0628514289855957,0.000149535402957926
427,0.0634374618530273,0.00018499315294981
428,0.0627212524414063,0.000157145156280868
429,0.062859058380127,0.000152435823006262
430,0.0629396438598633,0.000132031378652507
431,0.0622854232788086,0.000181323560159984
432,0.0622091293334961,0.000206513983922484
433,0.0623984336853027,0.000177726618694482
434,0.0620722770690918,0.000181308511937197
435,0.061518669128418,0.000126288950784659
436,0.0622367858886719,0.000110140094117661
437,0.0615110397338867,0.000110451379268125
438,0.0614347457885742,0.000160177543797545
439,0.061577320098877,0.000149188318382463
440,0.0611786842346191,0.000136532059998881
441,0.0616402626037598,0.000130517568795189
442,0.0609140396118164,0.000130360686185012
443,0.061063289642334,0.000153695497296272
444,0.0608983039855957,0.0000988169513068737
445,0.0606160163879395,0.0000740281049705636
446,0.0607767105102539,0.0000977062492226549
447,0.0604677200317383,0.000121133532810092
448,0.0604958534240723,0.0001300743246651
449,0.0603723526000977,0.000159702723589231
450,0.0602960586547852,0.000137848006166726
451,0.0601792335510254,0.000156933766377122
452,0.060302734375,0.000116391252175186
453,0.0600714683532715,0.000103711807864474
454,0.0598912239074707,0.0000911744568078393
455,0.0601067543029785,0.0000929551204302039
456,0.0598411560058594,0.000121898828696449
457,0.0597658157348633,0.000137613584650339
458,0.0596413612365723,0.000113689418831508
459,0.059626579284668,0.000114444891542751
460,0.0592169761657715,0.000106429797346565
461,0.0595407485961914,0.000109693276477895
462,0.059079647064209,0.000135038397393287
463,0.0592308044433594,0.000137100426700799
464,0.0594120025634766,0.000102643005730238
465,0.0591673851013184,0.0000916867467439388
466,0.0590095520019531,0.000101453198766546
467,0.0586915016174316,0.000111161368134968
468,0.0589327812194824,0.000116246601150064
469,0.0587162971496582,0.00011041225920415
470,0.0585370063781738,0.0000842343333557137
471,0.0586929321289063,0.0000897315808107476
472,0.0585875511169434,0.000100681543485438
473,0.0586342811584473,0.0000865823889677535
474,0.0582408905029297,0.0000999221338646409
475,0.0586318969726563,0.000135213396137511
476,0.058344841003418,0.000123145908000882
477,0.0583319664001465,0.0000802603488590861
478,0.0585155487060547,0.000110737153042709
479,0.0580763816833496,0.0000813171644195743
480,0.0582709312438965,0.0000678484151106249
481,0.0579681396484375,0.0000706298693133756
482,0.0580835342407227,0.0000842869532562649
483,0.0580849647521973,0.000113158189744539
484,0.0580296516418457,0.0000891723733989441
485,0.0585980415344238,0.0000859127711823929
486,0.058384895324707,0.0000717968564491059
487,0.0576181411743164,0.0000859960975497791
488,0.0580229759216309,0.0000745499480137909
489,0.0580673217773438,0.0000671562123143981
490,0.0579414367675781,0.0000784277544501327
491,0.0578341484069824,0.0000785349496725701
492,0.057765007019043,0.000102527751185186
493,0.0578203201293945,0.0000891111566594186
494,0.0580177307128906,0.0000866663833016685
495,0.0579986572265625,0.000104513307134991
496,0.0581178665161133,0.0000845266999441755
497,0.0578203201293945,0.0000898581880650843
498,0.0579075813293457,0.0000958739182649176
499,0.0580835342407227,0.0000943487116690129
500,0.0579113960266113,0.0000877224866935539
501,0.0580301284790039,0.0000759953377271139
502,0.0580658912658691,0.0000731723671158534
503,0.0580925941467285,0.0000897467831117141
504,0.0580410957336426,0.0000711558641629057
505,0.0582795143127441,0.0000836084701320789
506,0.0582995414733887,0.0000558449400785727
507,0.0582566261291504,0.0000793715466997187
508,0.0583281517028809,0.0000925260699899686
509,0.0583195686340332,0.000092240570982002
510,0.0586700439453125,0.0000862653639856782
511,0.0585389137268066,0.0000757285866897647
512,0.0585126876831055,0.0000927763863145089
513,0.058650016784668,0.0000972139879138928
514,0.058680534362793,0.0000804343866829463
515,0.0587401390075684,0.0000623563727597646
516,0.058891773223877,0.0000686546159550703
517,0.0588412284851074,0.000076655188307638
518,0.0590848922729492,0.0000801894937956965
519,0.0589303970336914,0.0000789478764201411
520,0.0590553283691406,0.0000797102878340411
521,0.0591602325439453,0.0000657067070344884
522,0.059074878692627,0.0000743284976702722
523,0.0592756271362305,0.000086281177018437
524,0.0593638420104981,0.0000767204166842109
525,0.0594878196716309,0.0000782245508362193
526,0.0594320297241211,0.00010575899887198
527,0.0593905448913574,0.0000771460041397259
528,0.059453010559082,0.0000828736945021656
529,0.0595812797546387,0.000103135809904152
530,0.0596041679382324,0.0000815056849270339
531,0.059626579284668,0.0000732189628416063
532,0.0597691535949707,0.0000905814906702494
533,0.0596580505371094,0.0000778954036055921
534,0.0596909523010254,0.000083051838138875
535,0.0596828460693359,0.0000727360342623457
536,0.0597329139709473,0.0000618970631873473
537,0.0599613189697266,0.0000789565160914699
538,0.0600104331970215,0.0000692235524223231
539,0.0599436759948731,0.0000834383279338478
540,0.0598044395446777,0.0000901411430238121
541,0.0599403381347656,0.0000823618008130795
542,0.0600318908691406,0.000103784130545555
543,0.0599431991577148,0.0000889272535948098
544,0.0598382949829102,0.000099184421366094
545,0.0599584579467773,0.000109999625055666
546,0.0598244667053223,0.000081060914420169
547,0.059941291809082,0.0000739574278653766
548,0.0597834587097168,0.0000851337963351128
549,0.0598173141479492,0.0000652431036813298
550,0.0598526000976563,0.0000604728410858232
551,0.0597100257873535,0.0000624274362527967
552,0.0598416328430176,0.0000669391740459932
553,0.0596818923950195,0.0000768373923071246
554,0.0597114562988281,0.0000790040173952703
555,0.0596122741699219,0.0000803849020800624
556,0.0595650672912598,0.0000706636631261699
557,0.0595312118530273,0.0000624492856740757
558,0.0594968795776367,0.0000479654097759244
559,0.0594854354858398,0.0000577406287030555
560,0.059502124786377,0.0000750727067129686
561,0.0594511032104492,0.0000957671372271209
562,0.0593304634094238,0.0000697079824546466
563,0.0593252182006836,0.0000769719160540018
564,0.0592446327209473,0.0000687290921468714
565,0.059145450592041,0.0000747524945917718
566,0.0591249465942383,0.0000721869094352154
567,0.0591273307800293,0.0000820159912109375
568,0.05902099609375,0.000075349324322236
569,0.0590181350708008,0.0000558683464015803
570,0.0589866638183594,0.0000650231765977863
571,0.0587263107299805,0.0000504670806117945
572,0.0586199760437012,0.0000596075057296786
573,0.0586233139038086,0.0000814414973238737
574,0.0586142539978027,0.000062080462295015
575,0.0581746101379395,0.0000913214742977076
576,0.0582661628723145,0.0000872963693755666
577,0.0581321716308594,0.0000706845750089055
578,0.0583887100219727,0.0000778881058602716
579,0.0574760437011719,0.0000749362906903024
580,0.0581088066101074,0.0000676806476437641
581,0.0577583312988281,0.0000636840972997257
582,0.0578417778015137,0.0000618676688781093
583,0.0567493438720703,0.0000649742028189226
